Key,Name,German Name,Description,Bible Verse,Quatrain,Bible Verse Eng,Quatrain Eng
0,Creation,Die Schöpfung aller Ding.,Eve is taken from the side of Adam. ,"Formauit Dominvs Devs hominem de limo terræ, ad imaginē suam creauit illum, masculum & fœminam creauit eos.

Genesis i. & ii","DIEV, Ciel, Mer, Terre, procrea
De rien demonstrant sa puissance
Et puis de la terre crea
L'homme, & la femme a sa semblance.","The Lord God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.

Genesis 1 & 2","God, Heaven, Sea, and Earth, create
From nothing, demonstrating His power
And then from the earth, He created
Man, and woman in His likeness."
1,Temptation,"""Adam Eua im Paradyss.""","Eve, having received an apple from the serpent, prompts Adam to gather more.","Quia audisti vocem vxoris tuæ, & comedisti de ligno ex quo preceperam tibi ne comederes, &c.

Genesis iii","ADAM fut par EVE deceu
Et contre DIEV mangea la pomme,
Dont tous deux ont la Mort receu,
Et depuis fut mortel tout homme","Because you have listened to the voice of your wife, and have eaten of the tree of which I commanded you not to eat…

Genesis 3","Adam was deceived by Eve,
And against God, he ate the apple,
Because of which both received death,
And since then, every man has been mortal."
2,Expulsion,"""Vsstribung Ade Eue.""","Adam and Eve, preceded by Death, playing on a beggar's lyre or hurdy-gurdy, are driven by the angel from Eden.","Emisit eum Dominvs Devs de Paradiso voluptatis, vt operaretur terram de qua sumptus est.

Genesis iii.","DIEV chassa l'homme de plaisir
Pour uiure au labeur de ses mains:
Alors la Mort le uint saisir,
Et consequemment tous humains.","So the Lord God sent him out from the garden of Eden to work the ground from which he was taken.

Genesis 3","God expelled man from paradise
To live by the toil of his hands:
Then Death seized him,
And consequently all humans"
3,Consequences of the Fall,Adam baut die Erden.,"Adam, aided by Death, tills the earth. Eve, with a distaff, suckles Cain in the background.","Maledicta terra in opere tuo, in laboribus comedes cunctis diebus vitæ
tuæ, donec reuertaris, &c.

Genesis iii.","Mauldicte en ton labeur la terre.
En labeur ta uie useras,
Iusques que la Mort te soubterre.
Toy pouldre en pouldre tourneras.","Cursed is the ground because of you; in toil you shall eat of it all the days of your life…

Genesis 3","Cursed be the earth in your toil.
In labor shall you spend your life,
Until Death buries you.
You will turn from dust to dust."
4,Cemetery,Gebein aller Menschen.,"A crowd of skeletons, playing on horns, trumpets, and the like, summon mankind to the grave.","Væ væ væ habitantibus in terra.

Apocalypsis viii.


Cuncta in quibus spiraculum vitæ est, mortua sunt.

Genesis vii.","Malheureux qui uiuez au monde
Tousiours remplis d'aduersitez,
Pour quelque bien qui uous abonde,
Serez tous de Mort uisitez.","Woe, woe, woe to the inhabitants of the earth.

Apocalypse 8

Everything in which the breath of life is, is dead.

Genesis 7","Unhappy are those who live in the world,
Always filled with adversities,
No matter how much wealth you have,
You will all be visited by death."
5,Pope,Der Päpst.,"The Pope (Leo X.) with Death at his side, crowns an Emperor, who kisses his foot. Another Death, in a cardinal's hat, is among the assistants.","Moriatur sacerdos magnus.

Iosve xx.

Et episcopatum eius accipiat alter.

Psalmista cviii.","Qui te cuydes immortel estre
Par Mort seras tost depesché,
Et combien que tu soys grand prebstre,
Vng aultre aura ton Euesché.","Let the high priest die.

Joshua 20

And let another take his office.

Psalm 108","Whoever thinks themselves immortal,
Will soon be dispatched by death,
And even if you are a high priest,
Another will have your bishopric."
6,Emperor,Der Kaiser.,The Emperor (Maximilian I.) rates his minister for injustice to a suitor. But even in the act Death discrowns him.,"Dispone domui tuæ, morieris enim tu, & non viues.

Isaiæ xxxviii.

Ibi morieris, & ibi erit currus gloriæ tuæ.

Isaiæ xxii.","De ta maison disposeras
Comme de ton bien transitoire,
Car là ou mort reposeras,
Seront les chariotz de ta gloire.","Set your house in order, for you shall die, you shall not recover.

Isaiah 38

There you shall die, and there shall be your glorious chariots.

Isaiah 22","You will dispose of your house
As of your passing wealth,
Because where you will rest in death,
There will be the chariots of your glory."
7,King,Der König.," The King (Francis I.) sits at feast under a baldachin sprinkled with fleurs-de-lis. Death, as a cup-bearer, pours his last draught.","Sicut & rex hodie est, & cras morietur, nemo enim ex regibus aliud habuit.

Ecclesiastici x. ","Ainsi qu'auiourdhuy il est Roy,
Demain sera en tombe close.
Car Roy aulcun de son arroy
N'a sceu emporter aultre chose.","Like the king today, tomorrow he will die, for no king has anything different.

Ecclesiastes 10","As today he is a king,
Tomorrow he will be in a closed tomb.
For no king of his lineage
Could carry away anything else."
8,Cardinal,Der Cardinal.,"Death lifts off the Cardinal's hat as he is handing a letter of indulgence to a rich man. Luther's opponent, Cardinal Cajetan, is supposed to be represented.","Væ qui iustificatis impium pro muneribus, & iustitiam iusti aufertis ab eo.

Esaiæ v.","Mal pour uous qui iustifiez
L'inhumain, & plain de malice
Et par dons le sanctifiez,
Ostant au iuste sa iustice.","Woe to those who justify the wicked for a bribe, and take away justice from the righteous.

Isaiah 5","Woe to you who justify
The inhuman and full of malice,
And by gifts sanctify him,
Taking away justice from the righteous."
9,Empress,Die Kaiserinn.,"The Empress, walking with her women, is intercepted by a female Death, who conducts her to an open grave.","Gradientes in superbia potest Deus humiliare.

Danie iiii. ","Qui marchez en pompe superbe
La Mort vng iour uous pliera.
Cõme soubz uoz piedz ployez l'herbe
Ainsi uous humiliera.","Those who walk in pride, God is able to humble.

Daniel 4","You who walk in proud pomp,
Death will one day humble you.
Just as grass bends beneath your feet,
So shall it humble you."
